date,TRANSACTION_TYPE,TOTAL_TRANSACTIONS,TOTAL_SALES,TOTAL_UNITS,TOTAL_COUPONS
5/21/2016,S,2287,140668.72,12107,1344
5/22/2016,S,2417,162602.05,13576,1314
5/23/2016,S,2092,118878.79,10409,1108
5/24/2016,S,1888,112697.45,9783,855
5/25/2016,S,1944,104791.55,8960,940
5/26/2016,S,1908,111372.28,9092,1015
5/27/2016,S,2263,149841.89,11370,1218
5/28/2016,S,2374,169278.0,12254,1120
5/29/2016,S,2263,157896.07,11856,1051
5/30/2016,S,2633,184728.43,13186,1310
5/31/2016,S,2170,135091.98,11249,992
6/1/2016,S,2111,131797.44,10856,868
6/2/2016,S,1991,132237.59,10708,975
6/3/2016,S,1938,119418.13,10047,854
6/4/2016,S,2383,153918.39,12998,1076
6/5/2016,S,2054,150754.22,12720,897
6/6/2016,S,2094,125785.79,10987,916
6/7/2016,S,1952,107376.08,9235,724
6/8/2016,S,1571,88816.59,7651,520
6/9/2016,S,1914,105512.71,9416,767
6/10/2016,S,1974,121829.22,10064,882
6/11/2016,S,2367,167532.29,13582,1051
6/12/2016,S,2262,147315.29,12247,950
6/13/2016,S,1879,107591.93,9565,771
6/14/2016,S,1875,107482.53,9433,817
6/15/2016,S,1936,109913.78,9661,981
6/16/2016,S,1852,106449.34,9689,885
6/17/2016,S,2041,121129.45,10524,1018
6/18/2016,S,2376,150814.65,12753,1172
6/19/2016,S,2145,136159.57,11825,1031
6/20/2016,S,1910,110931.1,9622,834
6/21/2016,S,1805,111302.38,9436,840
6/22/2016,S,1853,112949.53,9733,845
6/23/2016,S,1857,101429.7,9169,808
6/24/2016,S,2028,126399.09,11066,849
6/25/2016,S,2336,155297.84,13129,1032
6/26/2016,S,2397,161265.56,13989,972
6/27/2016,S,1920,116162.23,9776,769
6/28/2016,S,1830,108780.36,9832,654
6/29/2016,S,1956,115508.4,10085,821
6/30/2016,S,2079,117913.92,10000,942
7/1/2016,S,2070,136439.28,11094,950
7/2/2016,S,2390,163944.74,13198,1094
7/3/2016,S,2157,151369.89,11883,956
7/4/2016,S,1781,115127.29,9460,766
7/5/2016,S,2042,124555.63,10465,959
7/6/2016,S,2025,115089.69,9857,921
7/7/2016,S,1939,117246.87,9337,906
7/8/2016,S,1894,124328.91,9832,853
7/9/2016,S,2431,159947.07,13626,1076
7/10/2016,S,2408,156434.01,12745,1219
7/11/2016,S,2037,118686.37,9646,916
7/12/2016,S,1938,110398.65,9413,885
7/13/2016,S,1827,107402.77,9088,937
7/14/2016,S,1839,114941.23,9202,934
7/15/2016,S,2013,119808.23,9906,913
7/16/2016,S,2302,155062.17,12380,1181
7/17/2016,S,2353,160981.77,12964,1103
7/18/2016,S,1808,108257.41,8822,786
7/19/2016,S,2135,117579.31,9817,1181
