DATE,TRANSACTION_TYPE,TOTAL_TRANSACTIONS,TOTAL_SALES,TOTAL_UNITS,TOTAL_COUPONS,TOTAL_RETURN_SALES,TOTAL_RETURN_UNITS
3/2/2016,R,117,0,0,0,6206.24,202
3/3/2016,S,1524,84039.1,7346,582,0,0
3/3/2016,R,101,0,0,0,5099.58,175
3/4/2016,S,1530,82790.43,7464,496,0,0
3/4/2016,R,98,0,0,0,6326.87,164
3/5/2016,S,2285,143897.75,12210,822,0,0
3/5/2016,R,148,0,0,0,10698.04,302
3/6/2016,S,2200,141615.91,12213,790,0,0
3/6/2016,R,166,0,0,0,10902.07,291
3/7/2016,S,1607,81599.05,7999,546,0,0
3/7/2016,R,145,0,0,0,7280.22,254
3/8/2016,S,1611,76181.29,7827,643,0,0
3/8/2016,R,94,0,0,0,7210.77,141
3/9/2016,S,1588,76714.89,7685,662,0,0
3/9/2016,R,105,0,0,0,6262.3,212
3/10/2016,S,1562,78044.47,7159,672,0,0
3/10/2016,R,93,0,0,0,6511.79,263
3/11/2016,S,1735,92336.75,8500,662,0,0
3/11/2016,R,113,0,0,0,7320.02,236
3/12/2016,S,2338,140172.61,12413,867,0,0
3/12/2016,R,159,0,0,0,13022.21,316
3/13/2016,S,2069,131830.17,11043,804,0,0
3/13/2016,R,164,0,0,0,13134.93,318
3/14/2016,S,1245,63960.56,6013,449,0,0
3/14/2016,R,85,0,0,0,5019.48,195
3/15/2016,S,1644,92937.89,8561,724,0,0
3/15/2016,R,119,0,0,0,6600.13,201
3/16/2016,S,1720,84597.61,8062,799,0,0
3/16/2016,R,109,0,0,0,6698.92,248
3/17/2016,S,1674,90328.01,8222,846,0,0
3/17/2016,R,92,0,0,0,4072.8,162
3/18/2016,S,1769,91161.18,8775,797,0,0
3/18/2016,R,102,0,0,0,6402.98,227
3/19/2016,S,2298,144702.45,12252,1101,0,0
3/19/2016,R,156,0,0,0,9206.48,283
3/20/2016,S,2051,131094.26,10826,970,0,0
3/20/2016,R,164,0,0,0,12415.41,341
3/21/2016,S,1674,88840.05,8190,709,0,0
3/21/2016,R,122,0,0,0,7137.43,227
3/22/2016,S,1687,82463.58,7902,804,0,0
3/22/2016,R,108,0,0,0,6994.62,188
3/23/2016,S,1618,86038.44,7919,768,0,0
3/23/2016,R,119,0,0,0,6354.23,228
3/24/2016,S,1711,95142.16,8166,903,0,0
3/24/2016,R,88,0,0,0,4295.78,142
3/25/2016,S,1909,102502.95,9316,989,0,0
3/25/2016,R,94,0,0,0,5483.56,164
3/26/2016,S,2289,147667.47,12211,1336,0,0
